,0
777,476
778,411
779,863
780,872
781,1013
782,922
783,951
784,445
785,1101
786,463
787,928
788,603
789,995
790,452
791,388
792,987
793,799
794,495
795,1060
796,517
797,138
798,353
799,887
800,468
801,481
802,442
803,408
804,1000
805,492
806,690
807,413
808,478
809,461
810,1043
811,470
812,509
813,840
814,909
815,619
816,531
817,750
818,824
819,999
820,372
821,261
822,320
823,538
824,521
825,215
826,410
827,1047
828,334
829,464
830,42
831,500
832,929
833,290
834,896
835,1152
836,448
837,1134
838,548
839,660
840,467
841,916
842,43
843,549
844,358
845,646
846,223
847,294
848,489
849,541
850,601
851,594
852,1082
853,508
854,636
855,876
856,597
857,617
858,520
859,450
860,975
861,976
862,590
863,596
864,618
865,644
866,1074
867,977
868,259
869,515
870,966
871,758
872,786
873,471
874,1032
875,430
876,465
877,494
878,658
879,1014
880,560
881,850
882,848
883,643
884,527
885,930
886,609
887,557
888,556
889,1022
890,751
891,457
892,606
893,942
894,1105
895,453
896,443
897,1095
898,1133
899,536
900,585
901,1056
902,994
903,524
904,568
905,395
906,1057
907,1149
908,615
909,607
910,274
911,1077
912,884
913,225
914,565
915,1075
916,257
917,519
918,911
919,567
920,832
921,649
922,574
923,648
924,291
925,833
926,502
927,865
928,1131
929,1051
930,599
931,898
932,749
933,356
934,265
935,960
936,497
937,858
938,484
939,782
940,944
941,1050
942,505
943,272
944,879
945,883
946,533
947,1146
948,1141
949,477
950,642
951,827
952,373
953,647
954,551
955,289
956,1049
957,1130
958,1102
959,547
960,855
961,662
962,874
963,573
964,473
965,620
966,267
967,578
968,1080
969,835
970,605
971,232
972,516
973,639
974,355
975,449
976,616
977,788
978,501
979,959
980,741
981,493
982,629
983,1054
984,1142
985,965
986,633
987,231
988,958
989,1041
990,317
991,488
992,1087
993,522
994,498
995,1118
996,851
997,532
998,634
999,485
1000,598
1001,561
1002,562
1003,837
1004,1068
1005,340
1006,913
1007,956
1008,575
1009,354
1010,496
1011,1147
1012,776
1013,1038
1014,901
1015,853
1016,932
1017,462
1018,224
1019,534
1020,166
1021,454
1022,480
1023,780
1024,1036
1025,914
1026,622
1027,940
1028,540
1029,969
1030,602
1031,451
1032,375
1033,326
1034,595
1035,342
1036,428
1037,864
1038,761
1039,635
1040,825
1041,871
1042,640
1043,1090
1044,866
1045,725
1046,579
1047,571
1048,846
1049,469
1050,446
1051,868
1052,1132
1053,456
1054,479
1055,1140
1056,843
1057,941
1058,847
1059,830
1060,836
1061,897
1062,1065
1063,973
1064,553
1065,1099
1066,860
1067,672
1068,544
